"subdistrict.Semin.BS_ID_ST13.3403150002003B.1","subdistrict.Semin.BS_ID_ST13.3403150002003B.2"
110.720553297846,-7.87742604535839
110.72035141183,-7.8772172733199
110.72028499921,-7.87690722967838
110.720151847236,-7.87677428396864
110.719907705751,-7.87657483566296
110.719619336986,-7.87609857252997
110.71943083237,-7.87572201868147
110.719431182524,-7.87520166287853
110.719442613677,-7.87471452869182
110.71948722825,-7.87441563058402
110.719620565378,-7.87427179146586
110.719831536646,-7.87426086103898
110.720131290197,-7.87431641819463
110.720375497326,-7.87441622373551
110.720553076956,-7.87452705615659
110.720730745658,-7.87450503168398
110.72104177324,-7.87430595334288
110.721486092569,-7.87402946343617
110.721664012258,-7.8736310108551
110.721686425819,-7.87332102629914
110.721642130703,-7.87314385437579
110.721453470198,-7.87299980083653
110.721131495921,-7.87296637269335
110.720787300232,-7.87295507233002
110.720309842402,-7.87297689707677
110.719998949293,-7.87297668967673
110.719643694986,-7.87289895255483
110.719399578303,-7.87266628980043
110.719188823997,-7.87235614939877
110.719161293078,-7.87201845307088
110.719161427247,-7.87181916784078
110.71930593396,-7.87157569359401
110.719372814354,-7.87118823908299
110.719439582929,-7.87096685558702
110.719450820213,-7.87076757776603
110.719384327213,-7.87057931937539
110.719273309505,-7.87055710230292
110.719128967124,-7.87055700571153
110.719017845048,-7.87068978820329
110.718862324755,-7.8708003981034
110.718695760834,-7.87082242928448
110.718518175798,-7.87072266753227
110.718440527669,-7.87061190137031
110.718396219246,-7.87045687194343
110.718274135755,-7.87037929014994
110.718118750035,-7.87029061454651
110.717863480057,-7.87013544330479
110.717785847187,-7.87000253422589
110.717730435827,-7.86984749726809
110.717604744622,-7.86972199722391
110.717470362121,-7.86975167947643
110.717070465422,-7.87001712379873
110.716937223672,-7.87014980381351
110.716980723097,-7.87020681300391
110.717058355741,-7.87033972222273
110.717136003445,-7.87045048862711
110.717124765072,-7.87064976635031
110.717080111773,-7.87100402121558
110.716801936265,-7.87187847453103
110.716612804202,-7.87243191703164
110.716345986007,-7.87292994987396
110.716145839909,-7.87335052781338
110.715801199045,-7.87399243580716
110.71551770491,-7.87451813522159
110.715328683219,-7.87490550602471
110.715195147828,-7.875337200014
110.715106131638,-7.87561392457701
110.71497264118,-7.8759791900916
110.714622327044,-7.87679269973974
110.714467056469,-7.87723886000747
110.714834127982,-7.87740207419515
110.715123670431,-7.87757264420583
110.715481498668,-7.87778344104131
110.712258886736,-7.88146935628497
110.712608704637,-7.88160250928667
110.71315645059,-7.88156243035998
110.713582620399,-7.8813199964787
110.713968440233,-7.88075390073848
110.714130948801,-7.88043037774512
110.714415088645,-7.88022830028017
110.714678887036,-7.88010711723866
110.715003404278,-7.88018824650928
110.71532797693,-7.88018846709178
110.715571420232,-7.88016840525297
110.715875845011,-7.8799663405297
110.716261481448,-7.87966319494927
110.716484872589,-7.87929925791262
110.716748724818,-7.87909716506537
110.717032752655,-7.87905690265103
110.71726698583,-7.87916700458295
110.717465357072,-7.87919381146564
110.718054928542,-7.87941365167491
110.718974260326,-7.87975340472556
110.71930402064,-7.87978338293594
110.719563831796,-7.87975340472558
110.71989359211,-7.8796534773578
110.720243337898,-7.87945362262207
110.7204056136,-7.87933191586126
110.720443192633,-7.87930373157033
110.720752967474,-7.87896397851957
110.720992793157,-7.87870416736314
110.721032764104,-7.8785043126275
110.72101277863,-7.8783244433654
110.720932836736,-7.87816455957684
110.720553112738,-7.87752502442259
110.720523134528,-7.8774750607387
110.720553297846,-7.87742604535839
